,root,type,struct,f_pos,notes,difficulty,complexity,chord
1547,B,7(#11),1;3;5;b7;#11,"2,x,3,4,1,x","B,A,D#,E#",2,57.33,B7(#11)
1546,B,5,1;5,"x,x,x,1,4,x","B,F#",0,0.0,B5
1545,B,5,1;5,"x,x,1,3,4,x","B,F#,B",1,0.0,B5
1544,B,5,1;5,"1,1,3,x,x,x","F#,B,F#",1,0.0,B5
1543,B,5,1;5,"1,3,4,x,x,x","B,F#,B",1,0.0,B5
1542,B,5,1;5,"x,1,3,4,0,x","B,F#,B,B",2,0.0,B5
1541,B,5,1;5,"x,1,3,x,x,x","B,F#",0,0.0,B5
1540,B,5,1;5,"x,1,3,4,x,x","B,F#,B",1,0.0,B5
1539,B,5,1;5,"1,3,x,x,x,x","B,F#",0,0.0,B5
1538,B,maj7,1;3;5;7,"1,x,3,4,2,x","B,A#,D#,F#",2,26.46,Bmaj7
1537,B,maj7,1;3;5;7,"x,1,3,2,4,x","B,F#,A#,D#",2,26.46,Bmaj7
1536,B,maj7,1;3;5;7,"x,x,4,3,2,1","B,D#,F#,A#",2,26.46,Bmaj7
1535,B,maj7,1;3;5;7,"1,4,2,3,1,x","B,F#,A#,D#,F#",3,26.46,Bmaj7
1534,B,maj7,1;3;5;7,"x,1,3,2,4,1","B,F#,A#,D#,F#",3,26.46,Bmaj7
1533,B,7sus4,1;4;5;b7,"1,3,1,4,1,1","B,F#,A,E,F#,B",4,39.69,B7sus4
1568,B,6/9,1;3;5;6;9,"x,x,2,1,3,4","B,D#,G#,C#",2,52.92,B6/9
1532,B,7sus4,1;4;5;b7,"x,1,3,1,4,1","B,F#,A,E,F#",3,39.69,B7sus4
1567,B,6/9,1;3;5;6;9,"2,1,1,1,3,4","B,D#,G#,C#,F#,B",4,52.92,B6/9
1565,B,sus4,1;4;5,"x,1,3,4,0,0","B,F#,B,B,E",3,17.64,Bsus4
1550,B,m6,1;b3;5;6,"1,x,3,1,4,1","B,B,D,G#,B",3,44.1,Bm6
1551,B,m6,1;b3;5;6,"x,1,2,1,3,x","G#,D,F#,B",2,44.1,Bm6
1552,B,7(b9),1;3;5;b7;b9,"x,2,1,3,1,x","B,D#,A,C",2,52.92,B7(b9)
1553,B,7(b9),1;3;5;b7;b9,"3,2,4,1,x,x","B,D#,A,C",2,52.92,B7(b9)
1554,B,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3","B,A,D#,F#,B",3,52.92,B7(b9)
1555,B,7(b9),1;3;5;b7;b9,"x,2,1,3,1,4","B,D#,A,C,F#",3,52.92,B7(b9)
1556,B,7(b9),1;3;5;b7;b9,"1,x,2,3,x,4","B,A,D#,C",2,52.92,B7(b9)
1557,B,7(b9),1;3;5;b7;b9,"x,2,3,1,4,x","D#,A,C,F#",2,52.92,B7(b9)
1558,B,m9,1;b3;5;b7;9,"x,1,0,2,3,x","B,D,A,C#",2,61.74,Bm9
1559,B,m9,1;b3;5;b7;9,"3,1,4,2,x,x","B,D,A,C#",2,61.74,Bm9
1560,B,m9,1;b3;5;b7;9,"1,3,1,1,1,4","B,F#,A,D,F#,C#",4,61.74,Bm9
1561,B,sus4,1;4;5,"x,1,2,3,4,1","B,F#,B,E,F#",3,17.64,Bsus4
1562,B,sus4,1;4;5,"x,x,1,1,2,4","F#,B,E,B",2,17.64,Bsus4
1563,B,sus4,1;4;5,"1,1,3,4,1,1","B,E,B,E,F#,B",4,17.64,Bsus4
1564,B,sus4,1;4;5,"x,1,3,3,4,x","B,F#,B,E",2,17.64,Bsus4
1566,B,6/9,1;3;5;6;9,"x,2,1,1,3,4","B,D#,G#,C#,F#",3,52.92,B6/9
1531,B,7sus4,1;4;5;b7,"x,1,2,3,0,0","B,E,A,B,E",3,39.69,B7sus4
1530,B,7(#5),1;3;#5;b7,"1,x,1,2,3,1","B,A,D#,F##,B",3,44.1,B7(#5)
1529,B,7(#5),1;3;#5;b7,"x,1,4,1,3,2","B,F##,A,D#,F##",3,44.1,B7(#5)
1507,B,m7,1;b3;5;b7,"x,2,0,3,4,x","B,D,A,D",2,44.1,Bm7
1506,B,m7,1;b3;5;b7,"2,x,3,3,3,x","B,A,D,F#",2,44.1,Bm7
1505,B,m7,1;b3;5;b7,"1,3,1,1,1,1","B,F#,A,D,F#,B",4,44.1,Bm7
1504,B,m7,1;b3;5;b7,"2,x,3,3,x,x","B,A,D",1,44.1,Bm7
1503,B,m7,1;b3;5;b7,"1,3,1,1,4,1","B,F#,A,D,A,B",4,44.1,Bm7
1502,B,m7,1;b3;5;b7,"x,1,3,1,2,1","B,F#,A,D,F#",3,44.1,Bm7
1501,B,m7,1;b3;5;b7,"x,2,0,3,0,4","B,D,A,B,F#",3,44.1,Bm7
1500,B,7b5,1;3;b5;b7,"x,x,1,2,3,4","B,F,A,D#",2,52.92,B7b5
1499,B,7b5,1;3;b5;b7,"x,x,2,4,1,3","A,D#,F,B",2,52.92,B7b5
1498,B,7b5,1;3;b5;b7,"x,1,2,1,3,x","B,F,A,D#",2,52.92,B7b5
1497,B,m,1;b3;5,"1,x,3,1,1,x","B,B,D,F#",2,22.05,Bm
1496,B,m,1;b3;5,"x,1,0,x,x,x","B,D",0,22.05,Bm
1495,B,m,1;b3;5,"2,x,0,3,x,x","B,D,D",1,22.05,Bm
1494,B,m,1;b3;5,"x,x,x,3,2,1","B,D,F#",1,22.05,Bm
1493,B,m,1;b3;5,"x,x,3,1,1,1","B,D,F#,B",2,22.05,Bm
1508,B,m7,1;b3;5;b7,"x,2,x,3,4,x","B,A,D",1,44.1,Bm7
1509,B,m7,1;b3;5;b7,"x,x,1,3,2,2","B,F#,A,D",2,44.1,Bm7
1510,B,m7,1;b3;5;b7,"x,x,1,1,1,1","A,D,F#,B",2,44.1,Bm7
1511,B,m7,1;b3;5;b7,"2,x,1,4,3,x","D,B,F#,A",2,44.1,Bm7
1528,B,7(#5),1;3;#5;b7,"x,0,1,0,0,4","A,D#,F##,B,F##",3,44.1,B7(#5)
1527,B,6,1;3;5;6,"x,x,1,1,1,1","F#,B,D#,G#",2,26.46,B6
1526,B,6,1;3;5;6,"x,1,4,x,x,x","B,G#",0,26.46,B6
1525,B,6,1;3;5;6,"1,x,3,2,4,1","B,B,D#,G#,B",3,26.46,B6
1524,B,6,1;3;5;6,"x,1,3,3,3,3","B,F#,B,D#,G#",3,26.46,B6
1523,B,6,1;3;5;6,"x,3,1,2,0,x","B,D#,G#,B",2,26.46,B6
1521,B,dim,1;b3;b5,"x,x,x,3,2,1","B,D,F",1,22.05,Bdim
1548,B,m6,1;b3;5;6,"x,2,0,1,0,3","B,D,G#,B,F#",3,44.1,Bm6
1520,B,dim,1;b3;b5,"x,x,1,2,4,3","B,F,B,D",2,22.05,Bdim
1518,B,dim,1;b3;b5,"x,1,2,4,3,x","B,F,B,D",2,22.05,Bdim
1517,B,m(maj7),1;b3;5;7,"x,1,3,4,2,x","A#,F#,B,D",2,39.69,Bm(maj7)
1516,B,m7,1;b3;5;b7,"x,0,2,3,1,x","A,F#,B,D",2,44.1,Bm7
1515,B,m7,1;b3;5;b7,"x,4,1,2,0,x","F#,A,D,B",2,44.1,Bm7
1514,B,m7,1;b3;5;b7,"x,2,1,1,x,3","D,F#,B,A",2,44.1,Bm7
1513,B,m7,1;b3;5;b7,"x,x,2,3,1,4","F#,B,D,A",2,44.1,Bm7
1512,B,m7,1;b3;5;b7,"x,x,0,1,0,2","D,A,B,F#",2,44.1,Bm7
1519,B,dim,1;b3;b5,"x,x,4,3,1,2","B,D,F,B",2,22.05,Bdim
1522,B,dim,1;b3;b5,"x,4,2,1,x,x","B,D,F",1,22.05,Bdim
1432,B,9b5,1;3;b5;b7;9,"2,1,3,1,1,4","B,D#,A,C#,F,B",4,70.56,B9b5
804,Bb,maj7,1;3;5;7,"1,x,3,4,2,x","Bb,A,D,F",2,26.46,Bbmaj7
754,Bb,m7,1;b3;5;b7,"2,x,3,3,3,3","Bb,Ab,Db,F,Bb",3,44.1,Bbm7
755,Bb,m7,1;b3;5;b7,"2,x,3,3,x,x","Bb,Ab,Db",1,44.1,Bbm7
756,Bb,m7,1;b3;5;b7,"x,x,2,3,1,4","F,Bb,Db,Ab",2,44.1,Bbm7
757,Bb,m7,1;b3;5;b7,"1,x,1,1,4,x","Bb,Ab,Db,Ab",2,44.1,Bbm7
758,Bb,m(maj7),1;b3;5;7,"x,1,4,2,3,x","Bb,F,A,Db",2,39.69,Bbm(maj7)
759,Bb,m(maj7),1;b3;5;7,"x,x,2,1,1,1","A,Db,F,Bb",2,39.69,Bbm(maj7)
760,Bb,m(maj7),1;b3;5;7,"1,x,4,2,3,x","Bb,A,Db,F",2,39.69,Bbm(maj7)
761,Bb,m(maj7),1;b3;5;7,"1,3,2,1,1,1","Bb,F,A,Db,F,Bb",4,39.69,Bbm(maj7)
762,Bb,dim,1;b3;b5,"x,1,2,4,3,x","Bb,Fb,Bb,Db",2,22.05,Bbdim
763,Bb,dim,1;b3;b5,"x,x,4,3,1,2","Bb,Db,Fb,Bb",2,22.05,Bbdim
764,Bb,dim,1;b3;b5,"1,2,3,1,x,x","Bb,Fb,Bb,Db",2,22.05,Bbdim
765,Bb,dim,1;b3;b5,"x,x,x,2,1,3","Db,Fb,Bb",1,22.05,Bbdim
766,Bb,6,1;3;5;6,"x,1,3,3,3,3","Bb,F,Bb,D,G",3,26.46,Bb6
767,Bb,6,1;3;5;6,"1,x,3,2,4,1","Bb,Bb,D,G,Bb",3,26.46,Bb6
768,Bb,6,1;3;5;6,"x,x,1,3,1,4","Bb,F,G,D",2,26.46,Bb6
769,Bb,6,1;3;5;6,"3,1,2,0,x,x","Bb,D,G,G",2,26.46,Bb6
770,Bb,6,1;3;5;6,"x,1,x,0,3,4","Bb,G,D,G",2,26.46,Bb6
771,Bb,6,1;3;5;6,"x,1,x,0,4,x","Bb,G,D",1,26.46,Bb6
772,Bb,6,1;3;5;6,"2,x,1,4,3,x","Bb,G,D,F",2,26.46,Bb6
773,Bb,6,1;3;5;6,"x,x,3,3,3,3","F,Bb,D,G",2,26.46,Bb6
774,Bb,6,1;3;5;6,"x,1,3,0,4,x","Bb,F,G,D",2,26.46,Bb6
775,Bb,6,1;3;5;6,"2,1,0,0,3,4","Bb,D,D,G,F,Bb",4,26.46,Bb6
776,Bb,6,1;3;5;6,"2,x,1,3,x,x","Bb,G,D",1,26.46,Bb6
777,Bb,6,1;3;5;6,"2,x,1,3,4,x","Bb,G,D,G",2,26.46,Bb6
778,Bb,6,1;3;5;6,"x,x,3,2,4,1","Bb,D,G,Bb",2,26.46,Bb6
779,Bb,6,1;3;5;6,"1,x,x,0,2,x","Bb,G,F",1,26.46,Bb6
780,Bb,6,1;3;5;6,"x,2,3,1,4,x","Bb,F,G,D",2,26.46,Bb6
753,Bb,m7,1;b3;5;b7,"x,x,x,2,1,1","F,Ab,Db",1,44.1,Bbm7
752,Bb,m7,1;b3;5;b7,"1,3,1,1,1,1","Bb,F,Ab,Db,F,Bb",4,44.1,Bbm7
751,Bb,m7,1;b3;5;b7,"2,x,3,3,3,x","Bb,Ab,Db,F",2,44.1,Bbm7
750,Bb,m7,1;b3;5;b7,"x,x,1,4,2,3","Bb,F,Ab,Db",2,44.1,Bbm7
721,Bb,11,1;3;5;b7;9;11,"3,x,4,2,1,1","Bb,Ab,C,Eb,Ab",3,61.74,Bb11
722,Bb,11,1;3;5;b7;9;11,"x,x,1,1,2,1","Bb,Eb,Ab,C",2,61.74,Bb11
723,Bb,maj9,1;3;5;7;9,"x,1,0,4,2,3","Bb,D,A,C,F",3,52.92,Bbmaj9
724,Bb,maj9,1;3;5;7;9,"2,1,4,1,x,x","Bb,D,A,C",2,52.92,Bbmaj9
725,Bb,maj9,1;3;5;7;9,"x,x,4,1,2,1","Bb,C,F,A",2,52.92,Bbmaj9
726,Bb,maj9,1;3;5;7;9,"x,1,4,1,2,1","D,Bb,C,F,A",3,52.92,Bbmaj9
727,Bb,maj9,1;3;5;7;9,"x,x,1,3,4,1","Bb,F,A,C",2,52.92,Bbmaj9
728,Bb,maj9,1;3;5;7;9,"x,1,3,2,1,x","Bb,F,A,C",2,52.92,Bbmaj9
729,Bb,sus2,1;2;5,"x,1,3,4,1,1","Bb,F,Bb,C,F",3,17.64,Bbsus2
730,Bb,m11,1;b3;5;b7;9;11,"x,x,2,3,1,x","Ab,Db,Eb",1,66.15,Bbm11
731,Bb,m11,1;b3;5;b7;9;11,"x,1,1,1,2,1","Bb,Eb,Ab,Db,F",3,66.15,Bbm11
732,Bb,m11,1;b3;5;b7;9;11,"x,1,1,1,2,x","Bb,Eb,Ab,Db",2,66.15,Bbm11
733,Bb,m11,1;b3;5;b7;9;11,"2,x,3,4,1,x","Bb,Ab,Db,Eb",2,66.15,Bbm11
781,Bb,6,1;3;5;6,"x,x,1,1,1,1","F,Bb,D,G",2,26.46,Bb6
734,Bb,m,1;b3;5,"x,1,3,4,2,1","Bb,F,Bb,Db,F",3,22.05,Bbm
736,Bb,m,1;b3;5,"x,x,1,3,4,2","Bb,F,Bb,Db",2,22.05,Bbm
737,Bb,m,1;b3;5,"x,x,3,4,2,1","F,Bb,Db,F",2,22.05,Bbm
738,Bb,m,1;b3;5,"3,1,x,x,x,x","Bb,Db",0,22.05,Bbm
739,Bb,m,1;b3;5,"x,x,x,3,2,1","Bb,Db,F",1,22.05,Bbm
740,Bb,m,1;b3;5,"x,x,x,1,1,1","Db,F,Bb",1,22.05,Bbm
741,Bb,m,1;b3;5,"x,3,4,1,x,x","F,Bb,Db",1,22.05,Bbm
742,Bb,7b5,1;3;b5;b7,"x,1,2,1,3,x","Bb,Fb,Ab,D",2,52.92,Bb7b5
743,Bb,7b5,1;3;b5;b7,"x,x,2,4,1,3","Ab,D,Fb,Bb",2,52.92,Bb7b5
744,Bb,7b5,1;3;b5;b7,"x,x,1,2,3,4","Bb,Fb,Ab,D",2,52.92,Bb7b5
745,Bb,9(#11),1;3;5;b7;9;#11,"x,1,2,1,1,x","D,Ab,C,E",2,61.74,Bb9(#11)
746,Bb,9(#11),1;3;5;b7;9;#11,"2,x,3,4,1,x","Bb,Ab,D,E",2,61.74,Bb9(#11)
747,Bb,9(#11),1;3;5;b7;9;#11,"0,x,0,1,1,1","E,D,Ab,C,F",3,61.74,Bb9(#11)
749,Bb,m7,1;b3;5;b7,"1,3,1,1,4,1","Bb,F,Ab,Db,Ab,Bb",4,44.1,Bbm7
735,Bb,m,1;b3;5,"1,3,4,1,1,1","Bb,F,Bb,Db,F,Bb",4,22.05,Bbm
720,Bb,11,1;3;5;b7;9;11,"x,1,1,1,1,1","Bb,Eb,Ab,C,F",3,61.74,Bb11
782,Bb,6,1;3;5;6,"x,1,3,1,2,1","G,D,F,Bb,D",3,26.46,Bb6
784,Bb,6,1;3;5;6,"x,1,x,x,3,4","Bb,D,G",1,26.46,Bb6
818,Bb,5,1;5,"1,1,x,x,x,x","F,Bb",0,0.0,Bb5
819,Bb,5,1;5,"x,x,x,1,4,x","Bb,F",0,0.0,Bb5
820,Bb,5,1;5,"x,x,1,1,x,x","F,Bb",0,0.0,Bb5
821,Bb,5,1;5,"x,x,1,3,4,x","Bb,F,Bb",1,0.0,Bb5
822,Bb,5,1;5,"x,x,1,4,x,x","Bb,F",0,0.0,Bb5
823,Bb,m6,1;b3;5;6,"x,1,3,0,2,4","Bb,F,G,Db,G",3,44.1,Bbm6
824,Bb,m6,1;b3;5;6,"1,x,3,1,4,1","Bb,Bb,Db,G,Bb",3,44.1,Bbm6
825,Bb,m6,1;b3;5;6,"x,x,1,3,1,2","Bb,F,G,Db",2,44.1,Bbm6
826,Bb,m6,1;b3;5;6,"2,x,1,3,3,3","Bb,G,Db,F,Bb",3,44.1,Bbm6
827,Bb,7(b9),1;3;5;b7;b9,"x,1,0,2,x,3","Bb,D,Ab,F",2,52.92,Bb7(b9)
828,Bb,7(b9),1;3;5;b7;b9,"3,2,4,1,x,x","Bb,D,Ab,Cb",2,52.92,Bb7(b9)
829,Bb,7(b9),1;3;5;b7;b9,"1,x,1,2,1,3","Bb,Ab,D,F,Cb",3,52.92,Bb7(b9)
830,Bb,7(b9),1;3;5;b7;b9,"x,2,3,1,4,x","D,Ab,Cb,F",2,52.92,Bb7(b9)
831,Bb,m9,1;b3;5;b7;9,"3,1,4,2,x,x","Bb,Db,Ab,C",2,61.74,Bbm9
832,Bb,m9,1;b3;5;b7;9,"1,3,1,1,1,4","Bb,F,Ab,Db,F,C",4,61.74,Bbm9
833,Bb,m9,1;b3;5;b7;9,"x,2,1,3,4,x","Bb,Db,Ab,C",2,61.74,Bbm9
834,Bb,m9,1;b3;5;b7;9,"x,x,2,4,1,3","F,C,Db,Ab",2,61.74,Bbm9
835,Bb,m9,1;b3;5;b7;9,"1,x,1,1,1,4","Bb,Ab,Db,F,C",3,61.74,Bbm9
836,Bb,13(b9),1;3;5;b7;b9;11;13,"x,x,1,2,4,3","Ab,D,G,Cb",2,83.79,Bb13(b9)
837,Bb,sus4,1;4;5,"x,1,2,3,4,1","Bb,F,Bb,Eb,F",3,17.64,Bbsus4
838,Bb,sus4,1;4;5,"x,x,1,1,2,4","F,Bb,Eb,Bb",2,17.64,Bbsus4
839,Bb,sus4,1;4;5,"1,1,3,4,1,1","Bb,Eb,Bb,Eb,F,Bb",4,17.64,Bbsus4
840,Bb,sus4,1;4;5,"x,1,3,3,4,x","Bb,F,Bb,Eb",2,17.64,Bbsus4
841,Bb,6/9,1;3;5;6;9,"x,1,0,0,2,3","Bb,D,G,C,F",3,52.92,Bb6/9
842,Bb,6/9,1;3;5;6;9,"2,1,1,1,3,4","Bb,D,G,C,F,Bb",4,52.92,Bb6/9
843,Bb,6/9,1;3;5;6;9,"x,x,2,1,3,4","Bb,D,G,C",2,52.92,Bb6/9
844,Bb,6/9,1;3;5;6;9,"2,x,1,1,3,x","Bb,G,C,F",2,52.92,Bb6/9
817,Bb,5,1;5,"x,1,3,4,x,x","Bb,F,Bb",1,0.0,Bb5
816,Bb,5,1;5,"1,1,3,x,x,x","F,Bb,F",1,0.0,Bb5
815,Bb,5,1;5,"x,1,1,x,x,x","F,Bb",0,0.0,Bb5
814,Bb,5,1;5,"1,3,4,x,x,x","Bb,F,Bb",1,0.0,Bb5
785,Bb,6,1;3;5;6,"x,1,3,0,x,x","Bb,F,G",1,26.46,Bb6
786,Bb,6,1;3;5;6,"1,x,0,0,4,x","Bb,D,G,G",2,26.46,Bb6
787,Bb,6,1;3;5;6,"x,1,0,0,4,x","Bb,D,G,D",2,26.46,Bb6
788,Bb,7(#5),1;3;#5;b7,"x,1,4,1,3,2","Bb,F#,Ab,D,F#",3,44.1,Bb7(#5)
789,Bb,7(#5),1;3;#5;b7,"1,x,1,2,3,1","Bb,Ab,D,F#,Bb",3,44.1,Bb7(#5)
790,Bb,7(#5),1;3;#5;b7,"x,1,2,1,1,x","Ab,D,F#,Bb",2,44.1,Bb7(#5)
791,Bb,7(#5),1;3;#5;b7,"x,x,1,2,3,1","Ab,D,F#,Bb",2,44.1,Bb7(#5)
792,Bb,7(#5),1;3;#5;b7,"1,x,2,3,4,x","Bb,Ab,D,F#",2,44.1,Bb7(#5)
793,Bb,7sus4,1;4;5;b7,"x,1,3,1,4,1","Bb,F,Ab,Eb,F",3,39.69,Bb7sus4
794,Bb,7sus4,1;4;5;b7,"1,3,1,4,1,1","Bb,F,Ab,Eb,F,Bb",4,39.69,Bb7sus4
795,Bb,7sus4,1;4;5;b7,"x,x,1,3,2,4","Bb,F,Ab,Eb",2,39.69,Bb7sus4
796,Bb,7sus4,1;4;5;b7,"x,1,1,1,2,x","F,Bb,Eb,Ab",2,39.69,Bb7sus4
797,Bb,7sus4,1;4;5;b7,"1,x,2,4,x,x","Bb,Ab,Eb",1,39.69,Bb7sus4
783,Bb,6,1;3;5;6,"x,x,1,4,2,3","G,D,F,Bb",2,26.46,Bb6
798,Bb,maj7,1;3;5;7,"x,1,3,2,4,1","Bb,F,A,D,F",3,26.46,Bbmaj7
800,Bb,maj7,1;3;5;7,"x,4,3,1,1,1","Bb,D,F,A,D",3,26.46,Bbmaj7
801,Bb,maj7,1;3;5;7,"x,x,1,3,3,3","Bb,F,A,D",2,26.46,Bbmaj7
802,Bb,maj7,1;3;5;7,"x,1,3,2,4,x","Bb,F,A,D",2,26.46,Bbmaj7
803,Bb,maj7,1;3;5;7,"1,x,3,4,x,x","Bb,A,D",1,26.46,Bbmaj7
805,Bb,maj7,1;3;5;7,"x,x,4,3,2,1","Bb,D,F,A",2,26.46,Bbmaj7
806,Bb,maj7,1;3;5;7,"x,x,1,1,1,4","F,Bb,D,A",2,26.46,Bbmaj7
807,Bb,maj7,1;3;5;7,"x,2,4,1,3,x","D,A,Bb,F",2,26.46,Bbmaj7
808,Bb,maj7,1;3;5;7,"1,1,3,2,4,1","F,Bb,F,A,D,F",4,26.46,Bbmaj7
809,Bb,maj7,1;3;5;7,"2,x,3,4,2,1","Bb,A,D,F,A",3,26.46,Bbmaj7
810,Bb,maj7,1;3;5;7,"x,1,4,2,x,x","Bb,F,A",1,26.46,Bbmaj7
811,Bb,maj7,1;3;5;7,"x,1,0,2,4,1","Bb,D,A,D,F",3,26.46,Bbmaj7
812,Bb,5,1;5,"x,1,3,x,x,x","Bb,F",0,0.0,Bb5
813,Bb,5,1;5,"1,3,x,x,x,x","Bb,F",0,0.0,Bb5
799,Bb,maj7,1;3;5;7,"1,4,2,3,1,x","Bb,F,A,D,F",3,26.46,Bbmaj7
719,Bb,maj,1;3;5,"x,x,2,1,x,x","Bb,D",0,30.87,Bbmaj
748,Bb,m7,1;b3;5;b7,"x,1,3,1,2,1","Bb,F,Ab,Db,F",3,44.1,Bbm7
717,Bb,maj,1;3;5,"x,3,1,1,1,x","D,F,Bb,D",2,30.87,Bbmaj
667,Bb,9,1;3;5;b7;9,"x,x,3,2,1,4","Ab,C,D,Bb",2,52.92,Bb9
668,Bb,9,1;3;5;b7;9,"x,2,1,3,4,x","Bb,D,Ab,C",2,52.92,Bb9
669,Bb,9,1;3;5;b7;9,"2,1,3,1,x,x","Bb,D,Ab,C",2,52.92,Bb9
670,Bb,9,1;3;5;b7;9,"x,1,3,2,x,x","D,Ab,C",1,52.92,Bb9
671,Bb,9,1;3;5;b7;9,"x,x,2,1,3,x","Ab,C,F",1,52.92,Bb9
672,Bb,9,1;3;5;b7;9,"x,x,0,1,1,1","D,Ab,C,F",2,52.92,Bb9
666,Bb,9,1;3;5;b7;9,"x,1,3,2,4,4","D,Ab,C,F,Bb",3,52.92,Bb9
673,Bb,9,1;3;5;b7;9,"x,2,0,3,3,3","Bb,D,Ab,C,F",3,52.92,Bb9
675,Bb,9b5,1;3;b5;b7;9,"2,1,3,1,1,4","Bb,D,Ab,C,Fb,Bb",4,70.56,Bb9b5
676,Bb,9b5,1;3;b5;b7;9,"x,x,1,2,3,1","Bb,Fb,Ab,C",2,70.56,Bb9b5
677,Bb,maj13,1;3;5;7;9;11;13,"2,1,1,1,3,1","Bb,D,G,C,F,A",4,74.97,Bbmaj13
678,Bb,maj13,1;3;5;7;9;11;13,"3,x,4,2,1,1","Bb,A,C,D,G",3,74.97,Bbmaj13
679,Bb,7,1;3;5;b7,"x,1,3,1,4,1","Bb,F,Ab,D,F",3,44.1,Bb7
680,Bb,7,1;3;5;b7,"1,3,1,2,4,1","Bb,F,Ab,D,Ab,Bb",4,44.1,Bb7
674,Bb,9b5,1;3;b5;b7;9,"0,1,0,2,3,0","Fb,Bb,D,Ab,C,Fb",4,70.56,Bb9b5
665,Bb,9,1;3;5;b7;9,"x,x,1,3,3,3","D,Ab,C,F",2,52.92,Bb9
664,Bb,9,1;3;5;b7;9,"x,x,1,2,1,4","Ab,D,F,C",2,52.92,Bb9
663,Bb,9,1;3;5;b7;9,"x,2,1,3,3,3","Bb,D,Ab,C,F",3,52.92,Bb9
718,Bb,maj,1;3;5,"x,x,1,1,1,4","F,Bb,D,Bb",2,30.87,Bbmaj
648,Bb,13,1;3;5;b7;9;11;13,"x,1,0,2,3,4","Bb,D,Ab,C,G",3,74.97,Bb13
649,Bb,13,1;3;5;b7;9;11;13,"4,x,3,2,1,1","Bb,Ab,C,D,G",3,74.97,Bb13
650,Bb,13,1;3;5;b7;9;11;13,"1,x,1,2,3,4","Bb,Ab,D,G,C",3,74.97,Bb13
651,Bb,13,1;3;5;b7;9;11;13,"1,x,2,3,4,x","Bb,Ab,D,G",2,74.97,Bb13
652,Bb,13,1;3;5;b7;9;11;13,"x,1,2,1,4,4","D,Ab,C,G,C",3,74.97,Bb13
653,Bb,13,1;3;5;b7;9;11;13,"x,1,1,1,2,1","G,C,F,Bb,D",3,74.97,Bb13
654,Bb,13,1;3;5;b7;9;11;13,"x,x,1,2,3,1","Ab,D,G,Bb",2,74.97,Bb13
655,Bb,13,1;3;5;b7;9;11;13,"1,x,1,2,3,1","Bb,Ab,D,G,Bb",3,74.97,Bb13
657,Bb,7(#9),1;3;5;b7;#9,"x,1,0,2,4,3","Bb,D,Ab,C#,F",3,52.92,Bb7(#9)
658,Bb,7(#9),1;3;5;b7;#9,"2,1,3,3,3,x","Bb,D,Ab,C#,F",3,52.92,Bb7(#9)
659,Bb,7(#9),1;3;5;b7;#9,"1,3,1,2,1,4","Bb,F,Ab,D,F,C#",4,52.92,Bb7(#9)
660,Bb,9,1;3;5;b7;9,"x,2,0,3,4,x","Bb,D,Ab,C",2,52.92,Bb9
661,Bb,9,1;3;5;b7;9,"x,1,3,2,4,x","D,Ab,C,F",2,52.92,Bb9
662,Bb,9,1;3;5;b7;9,"1,x,1,2,1,4","Bb,Ab,D,F,C",3,52.92,Bb9
681,Bb,7,1;3;5;b7,"x,x,1,3,2,4","Bb,F,Ab,D",2,44.1,Bb7
682,Bb,7,1;3;5;b7,"1,3,1,2,1,1","Bb,F,Ab,D,F,Bb",4,44.1,Bb7
656,Bb,6(#11),1;3;5;6;#11,"x,1,3,0,4,0","Bb,F,G,D,E",3,57.33,Bb6(#11)
684,Bb,7,1;3;5;b7,"x,x,1,1,1,3","F,Bb,D,Ab",2,44.1,Bb7
703,Bb,maj,1;3;5,"x,1,3,3,3,x","Bb,F,Bb,D",2,30.87,Bbmaj
704,Bb,maj,1;3;5,"1,3,4,2,1,1","Bb,F,Bb,D,F,Bb",4,30.87,Bbmaj
705,Bb,maj,1;3;5,"x,4,3,1,2,1","Bb,D,F,Bb,D",3,30.87,Bbmaj
706,Bb,maj,1;3;5,"4,3,1,1,1,x","Bb,D,F,Bb,D",3,30.87,Bbmaj
707,Bb,maj,1;3;5,"2,1,x,x,x,x","Bb,D",0,30.87,Bbmaj
708,Bb,maj,1;3;5,"x,x,x,x,1,4","D,Bb",0,30.87,Bbmaj
702,Bb,aug,1;3;#5,"x,x,4,2,3,1","D,F#,Bb,D",2,44.1,Bbaug
709,Bb,maj,1;3;5,"x,x,x,x,1,1","F,Bb",0,30.87,Bbmaj
712,Bb,maj,1;3;5,"x,x,0,3,4,1","D,Bb,D,F",2,30.87,Bbmaj
713,Bb,maj,1;3;5,"x,x,3,2,1,1","Bb,D,F,Bb",2,30.87,Bbmaj
714,Bb,maj,1;3;5,"x,3,x,2,1,1","F,D,F,Bb",2,30.87,Bbmaj
715,Bb,maj,1;3;5,"x,3,4,2,1,1","F,Bb,D,F,Bb",3,30.87,Bbmaj
683,Bb,7,1;3;5;b7,"x,x,1,3,2,x","Ab,D,F",1,44.1,Bb7
716,Bb,maj,1;3;5,"x,x,1,1,1,x","F,Bb,D",1,30.87,Bbmaj
710,Bb,maj,1;3;5,"x,1,4,x,x,x","D,Bb",0,30.87,Bbmaj
701,Bb,aug,1;3;#5,"4,3,2,1,x,x","Bb,D,F#,Bb",2,44.1,Bbaug
